,Game,Mean Episodic Return,Num Runs
0,ALE/Pitfall-v5,-92.79493716447641 (10.375868428536101),50
1,ALE/Pong-v5,-20.87454179969256 (0.0),1
2,ALE/Enduro-v5,214.81216945447233 (17.411006697672196),50
3,ALE/SpaceInvaders-v5,573.5176653608704 (8.92566469511325),50
4,PitfallNoFrameskip-v4,-145.66567158016431 (35.799635373571654),36
5,PongNoFrameskip-v4,-20.97848432354608 (0.007412921657707473),30
6,SeaquestNoFrameskip-v4,53.503191043317095 (4.156354978842231),28
7,BreakoutNoFrameskip-v4,1.370035921771369 (0.04807673645187743),47
8,SpaceInvadersNoFrameskip-v4,700.8869496855597 (19.970865190251963),45
9,EnduroNoFrameskip-v4,411.5605467449218 (51.20060350937231),48
