,env,seed,mean_episodic_return,mode,action_repeat_n
0,ALE/SpaceInvaders-v5,10,114.90311643812392,1,1
1,ALE/SpaceInvaders-v5,3,157.4039831161499,1,1
2,ALE/SpaceInvaders-v5,4,47.26823884790594,1,1
3,ALE/SpaceInvaders-v5,11,110.40112495422363,1,1
6,ALE/SpaceInvaders-v5,15,210.32654571533203,1,1
7,ALE/SpaceInvaders-v5,9,181.528328704834,1,1
8,ALE/SpaceInvaders-v5,6,147.17068184746637,1,1
10,ALE/SpaceInvaders-v5,2,194.94220055474176,1,1
13,ALE/SpaceInvaders-v5,13,168.54776327950614,1,1
14,ALE/SpaceInvaders-v5,12,211.35958671569824,1,1
16,ALE/SpaceInvaders-v5,8,82.4302241007487,1,1
