Unnamed: 0,_step,charts/episodic_return,global_step,charts/decisions
24,10864,17.573916358947756,584043.0,10864
25,11019,17.573916358947756,592382.0,11019
26,11521,16.30946222305298,619070.0,11521
27,11648,26.222669620513916,625900.0,11648
28,11887,27.131751079559326,638666.0,11887
29,11912,26.829649333953856,639967.0,11912
30,12022,26.72380765914917,646044.0,12022
31,12505,28.126848278045653,672281.0,12505
32,12568,31.262180309295655,675805.0,12568
33,12631,28.169480113983155,679204.0,12631
34,12709,29.203485240936278,683456.0,12709
35,12929,31.604397106170655,695027.0,12929
36,13314,31.102925777435303,715562.0,13314
37,14228,40.075832271575926,764834.0,14228
38,14490,38.47062032699585,778924.0,14490
39,14773,38.47062032699585,794306.0,14773
40,14791,40.958170070648194,795190.0,14791
41,15425,40.25254858016968,829267.0,15425
42,16431,39.32542928695679,883390.0,16431
43,16747,41.95153341293335,900193.0,16747
44,17369,43.35386693954468,933106.0,17369
45,17469,40.399814205169676,938354.0,17469
46,17567,40.399814205169676,943589.0,17567
47,17622,41.793458461761475,946559.0,17622
48,17852,41.793458461761475,958599.0,17852
49,17907,41.793458461761475,961389.0,17907
50,17958,44.07321813583374,964145.0,17958
51,18278,43.881098937988284,981431.0,18278
52,18606,34.45562881469726,998666.0,18606
53,19370,36.7041015625,1039487.0,19370
54,19666,36.228381958007816,1055149.0,19666
55,19672,35.4365299987793,1055479.0,19672
56,20011,34.03348937988281,1073452.0,20011
57,20350,30.89815734863281,1091528.0,20350
58,20474,34.38616149902344,1098118.0,20474
59,20564,33.54427556991577,1103059.0,20564
60,20807,31.143363704681395,1116259.0,20807
61,20808,31.631100978851318,1116308.0,20808
62,21150,25.612247219085692,1134650.0,21150
63,21454,25.410935344696046,1151066.0,21454
64,21509,25.410935344696046,1153967.0,21509
65,21569,22.760166110992433,1157333.0,21569
66,21680,23.584557132720946,1163331.0,21680
67,21989,23.584557132720946,1180284.0,21989
68,24094,22.335479679107667,1292043.0,24094
69,24115,23.932002353668214,1293189.0,24115
70,25121,23.932002353668214,1347962.0,25121
71,25892,25.32564661026001,1389385.0,25892
72,26158,24.419739627838133,1403602.0,26158
73,26430,24.419739627838133,1418407.0,26430
74,26649,24.419739627838133,1430363.0,26649
75,26915,22.13997995376587,1444650.0,26915
76,27647,25.413597812652586,1483970.0,27647
77,28118,25.41042333602905,1509141.0,28118
78,28394,22.264209156036376,1523648.0,28394
79,28732,25.218261890411377,1541524.0,28732
80,28898,25.218261890411377,1550202.0,28898
81,29800,28.172314624786377,1598082.0,29800
82,30012,28.172314624786377,1609148.0,30012
83,30404,26.344502124786377,1630191.0,30404
84,30517,26.152382926940916,1635964.0,30517
85,30833,26.312709045410156,1653187.0,30833
