Unnamed: 0,_step,charts/episodic_return,global_step,charts/decisions
24,21109,41.61579889297485,392704.0,21109
25,22616,41.61579889297485,419763.0,22616
26,23231,44.71657495498657,430701.0,23231
27,27009,43.0782338142395,498536.0,27009
28,28256,41.753419971466066,521786.0,28256
29,30742,41.89324060440063,566608.0,30742
30,31311,40.049605197906494,577927.0,31311
31,31474,40.233086643218996,581024.0,31474
32,31481,37.122467803955075,581155.0,31481
33,31570,43.63778671264649,582445.0,31570
34,32190,43.2625203704834,593026.0,32190
35,32928,41.57100425720215,605633.0,32928
36,32969,43.48949577331543,606564.0,32969
37,33821,43.05445167541504,622152.0,33821
38,34305,44.87165542602539,631461.0,34305
39,34538,42.87420288085937,636362.0,34538
40,35085,36.30796264648438,646716.0,35085
41,35439,34.90860015869141,652224.0,35439
42,36261,35.47348823547363,667425.0,36261
43,37783,35.28519220352173,694502.0,37783
44,38110,32.28764505386352,701274.0,38110
45,38196,32.33191240310669,702915.0,38196
46,38375,30.341584644317628,706358.0,38375
47,38379,33.993502674102785,706507.0,38379
48,39056,36.822733364105225,718829.0,39056
49,39071,37.770605373382566,719160.0,39071
50,39456,37.770605373382566,726704.0,39456
51,42904,36.07607244491577,789249.0,42904
52,43216,35.611459484100344,794492.0,43216
53,43790,42.52812757492065,804863.0,43790
54,46352,43.348571376800535,853924.0,46352
55,46751,43.15595724105835,861326.0,46751
56,46858,41.48935995101929,863052.0,46858
57,47234,43.61951263427734,869974.0,47234
58,48832,35.43957000732422,898830.0,48832
59,49729,38.15769836425781,914812.0,49729
60,49764,40.685500793457024,915463.0,49764
61,49977,38.76700927734375,919588.0,49977
62,51200,37.29298919677734,944165.0,51200
63,52712,35.00330368041992,975833.0,52712
64,53048,36.32817733764649,983212.0,53048
65,53493,37.376798400878904,993202.0,53493
66,53896,38.11711502075195,1002127.0,53896
67,57261,37.55222694396973,1072519.0,57261
68,58633,38.13052513122559,1101411.0,58633
69,58997,44.50593391418457,1108694.0,58997
70,59076,44.66243965148926,1110375.0,59076
71,59450,45.800431671142576,1117806.0,59450
72,60168,42.148513641357425,1132658.0,60168
73,61664,41.26209335327148,1163894.0,61664
74,62789,41.18541427612305,1185101.0,62789
75,66742,45.15355606079102,1262681.0,66742
76,67409,44.23187572479248,1276419.0,67409
77,68369,43.83660202026367,1295557.0,68369
78,69530,40.21684768676758,1317337.0,69530
79,71060,39.368497924804686,1347650.0,71060
80,71100,46.058914031982425,1348571.0,71100
81,71111,47.63324752807617,1348820.0,71111
82,71479,45.31097564697266,1356260.0,71479
83,72507,46.63417236328125,1375850.0,72507
84,75207,43.367933654785155,1429786.0,75207
85,75444,39.76262847900391,1434599.0,75444
86,78216,43.19359649658203,1488686.0,78216
87,78777,45.60775619506836,1499887.0,78777
88,81474,47.60679718017578,1552857.0,81474
89,82694,47.653656005859375,1577621.0,82694
90,82782,47.55602500915527,1579354.0,82782
91,83029,45.646552925109866,1584277.0,83029
92,85021,48.40033802032471,1622476.0,85021
93,85338,49.879815101623535,1628267.0,85338
94,85473,45.073977394104006,1631240.0,85473
95,85553,44.121640281677244,1632838.0,85553
96,87472,44.331038856506346,1671163.0,87472
97,87987,55.8996399307251,1681014.0,87987
98,88384,54.99802845001221,1688515.0,88384
99,89271,61.8727925491333,1706374.0,89271
100,89781,61.15449695587158,1716032.0,89781
101,90052,61.527674713134765,1721165.0,90052
102,92486,61.15100658416748,1769003.0,92486
103,92648,58.4026965713501,1771975.0,92648
104,92870,57.690781898498535,1776349.0,92870
105,93605,49.88916690826416,1790247.0,93605
106,93820,46.874845314025876,1794392.0,93820
107,94134,46.874845314025876,1800113.0,94134
108,94654,49.750676612854,1810207.0,94654
109,96697,51.43248050689697,1849140.0,96697
110,98174,52.905880012512206,1877486.0,98174
111,98371,49.47491199493408,1881303.0,98371
112,98548,47.791566123962404,1885123.0,98548
113,99312,45.92155166625977,1900290.0,99312
114,102138,44.54981918334961,1955242.0,102138
115,102476,44.96323554992676,1961185.0,102476
116,102484,47.59884609222412,1961377.0,102484
117,105571,49.41299953460693,2023478.0,105571
118,107020,48.40384532928467,2050447.0,107020
119,107436,48.44750499725342,2058363.0,107436
120,108379,51.29461101531982,2076798.0,108379
121,109963,50.44140312194824,2108414.0,109963
122,110561,39.363595962524414,2119539.0,110561
123,111747,38.45768898010254,2142551.0,111747
124,111925,31.62707794189453,2146046.0,111925
125,112256,31.85148468017578,2153421.0,112256
126,113693,33.63655235290528,2180124.0,113693
