,_step,charts/episodic_return,global_step,charts/decisions
0,397.0,75,397.0,397.0
1,2466.0,140,2466.0,2466.0
2,2733.0,30,2733.0,2733.0
3,16270.0,5,16270.0,16270.0
4,19905.0,15,19905.0,19905.0
5,26086.0,15,26086.0,26086.0
6,33115.0,30,33115.0,33115.0
7,40875.0,45,40875.0,40875.0
8,41984.0,75,41984.0,41984.0
9,46285.0,30,46285.0,46285.0
10,46984.0,170,46984.0,46984.0
11,54725.0,75,54725.0,54725.0
12,60088.0,180,60088.0,60088.0
13,68899.0,105,68899.0,68899.0
14,73115.0,195,73115.0,73115.0
15,82317.0,35,82317.0,82317.0
16,105140.0,20,105140.0,105140.0
17,108505.0,5,108505.0,108505.0
18,109197.0,5,109197.0,109197.0
19,122884.0,80,122884.0,122884.0
20,135665.0,290,135665.0,135665.0
21,142397.0,115,142397.0,142397.0
22,143826.0,95,143826.0,143826.0
23,147123.0,0,147123.0,147123.0
24,154758.0,45,154758.0,154758.0
25,155363.0,10,155363.0,155363.0
26,156464.0,35,156464.0,156464.0
27,177442.0,305,177442.0,177442.0
28,195598.0,105,195598.0,195598.0
29,208617.0,20,208617.0,208617.0
30,219924.0,50,219924.0,219924.0
31,243787.0,115,243787.0,243787.0
32,267351.0,55,267351.0,267351.0
33,269604.0,85,269604.0,269604.0
34,270578.0,75,270578.0,270578.0
35,271307.0,25,271307.0,271307.0
36,275904.0,30,275904.0,275904.0
37,281582.0,0,281582.0,281582.0
38,282263.0,90,282263.0,282263.0
39,285948.0,5,285948.0,285948.0
40,287693.0,0,287693.0,287693.0
41,291437.0,0,291437.0,291437.0
42,311126.0,75,311126.0,311126.0
43,312523.0,105,312523.0,312523.0
44,315556.0,30,315556.0,315556.0
45,320238.0,75,320238.0,320238.0
46,320900.0,15,320900.0,320900.0
47,321974.0,5,321974.0,321974.0
48,338409.0,75,338409.0,338409.0
49,352770.0,30,352770.0,352770.0
50,356412.0,100,356412.0,356412.0
51,356735.0,50,356735.0,356735.0
52,357841.0,60,357841.0,357841.0
53,358205.0,65,358205.0,358205.0
54,364614.0,5,364614.0,364614.0
55,366617.0,75,366617.0,366617.0
56,370718.0,0,370718.0,370718.0
57,392233.0,30,392233.0,392233.0
58,409587.0,15,409587.0,409587.0
59,413915.0,70,413915.0,413915.0
60,415382.0,80,415382.0,415382.0
61,425124.0,25,425124.0,425124.0
62,427754.0,15,427754.0,427754.0
63,436529.0,15,436529.0,436529.0
64,445620.0,25,445620.0,445620.0
65,456692.0,25,456692.0,456692.0
66,462298.0,85,462298.0,462298.0
67,466680.0,90,466680.0,466680.0
68,476111.0,105,476111.0,476111.0
69,489812.0,55,489812.0,489812.0
70,494740.0,40,494740.0,494740.0
71,513595.0,30,513595.0,513595.0
72,518529.0,35,518529.0,518529.0
73,529006.0,50,529006.0,529006.0
74,540660.0,0,540660.0,540660.0
75,541638.0,30,541638.0,541638.0
76,546616.0,235,546616.0,546616.0
77,567661.0,15,567661.0,567661.0
78,568086.0,35,568086.0,568086.0
79,571539.0,40,571539.0,571539.0
80,579938.0,30,579938.0,579938.0
81,580949.0,35,580949.0,580949.0
82,660631.0,115,660631.0,660631.0
83,667041.0,280,667041.0,667041.0
84,671836.0,50,671836.0,671836.0
85,673828.0,545,673828.0,673828.0
86,674913.0,50,674913.0,674913.0
87,681650.0,80,681650.0,681650.0
88,686193.0,0,686193.0,686193.0
89,688715.0,0,688715.0,688715.0
90,695460.0,50,695460.0,695460.0
91,700397.0,5,700397.0,700397.0
92,709470.0,355,709470.0,709470.0
93,733045.0,0,733045.0,733045.0
94,741194.0,45,741194.0,741194.0
95,756182.0,95,756182.0,756182.0
96,757445.0,40,757445.0,757445.0
97,760854.0,45,760854.0,760854.0
98,763893.0,15,763893.0,763893.0
99,775357.0,55,775357.0,775357.0
100,781998.0,0,781998.0,781998.0
101,783280.0,65,783280.0,783280.0
102,793067.0,115,793067.0,793067.0
103,805271.0,0,805271.0,805271.0
104,810288.0,5,810288.0,810288.0
105,815134.0,260,815134.0,815134.0
106,834231.0,0,834231.0,834231.0
107,846864.0,20,846864.0,846864.0
108,865538.0,50,865538.0,865538.0
109,878571.0,0,878571.0,878571.0
110,895527.0,0,895527.0,895527.0
111,906912.0,40,906912.0,906912.0
112,925021.0,45,925021.0,925021.0
113,927960.0,60,927960.0,927960.0
114,930606.0,55,930606.0,930606.0
115,933238.0,60,933238.0,933238.0
116,947134.0,55,947134.0,947134.0
117,959259.0,5,959259.0,959259.0
118,963640.0,145,963640.0,963640.0
119,966046.0,30,966046.0,966046.0
120,979039.0,330,979039.0,979039.0
121,986811.0,30,986811.0,986811.0
122,995377.0,155,995377.0,995377.0
123,1001099.0,140,1001099.0,1001099.0
124,1019276.0,195,1019276.0,1019276.0
125,1023567.0,195,1023567.0,1023567.0
126,1097038.0,470,1097038.0,1097038.0
127,1102813.0,120,1102813.0,1102813.0
128,1109252.0,125,1109252.0,1109252.0
129,1148659.0,0,1148659.0,1148659.0
130,1165044.0,320,1165044.0,1165044.0
131,1209452.0,0,1209452.0,1209452.0
132,1243871.0,680,1243871.0,1243871.0
133,1256838.0,275,1256838.0,1256838.0
134,1276638.0,330,1276638.0,1276638.0
135,1304515.0,460,1304515.0,1304515.0
136,1307048.0,360,1307048.0,1307048.0
137,1413029.0,305,1413029.0,1413029.0
138,1433184.0,555,1433184.0,1433184.0
139,1557558.0,705,1557558.0,1557558.0
140,1678410.0,305,1678410.0,1678410.0
141,1679964.0,400,1679964.0,1679964.0
142,1684511.0,755,1684511.0,1684511.0
143,1705575.0,130,1705575.0,1705575.0
144,1753205.0,360,1753205.0,1753205.0
145,1798281.0,510,1798281.0,1798281.0
146,1841760.0,450,1841760.0,1841760.0
147,1846691.0,0,1846691.0,1846691.0
148,1900598.0,460,1900598.0,1900598.0
149,1913590.0,510,1913590.0,1913590.0
150,1973672.0,565,1973672.0,1973672.0
151,1980524.0,265,1980524.0,1980524.0
152,1984373.0,75,1984373.0,1984373.0
153,2013324.0,570,2013324.0,2013324.0
154,2058491.0,0,2058491.0,2058491.0
155,2101210.0,170,2101210.0,2101210.0
156,2111868.0,65,2111868.0,2111868.0
157,2149156.0,105,2149156.0,2149156.0
158,2222669.0,665,2222669.0,2222669.0
159,2234758.0,100,2234758.0,2234758.0
160,2298313.0,45,2298313.0,2298313.0
161,2316944.0,800,2316944.0,2316944.0
162,2319929.0,455,2319929.0,2319929.0
163,2321365.0,100,2321365.0,2321365.0
164,2342596.0,0,2342596.0,2342596.0
165,2350067.0,320,2350067.0,2350067.0
166,2358541.0,145,2358541.0,2358541.0
167,2367628.0,25,2367628.0,2367628.0
168,2383420.0,400,2383420.0,2383420.0
169,2392517.0,30,2392517.0,2392517.0
170,2406321.0,515,2406321.0,2406321.0
171,2414892.0,55,2414892.0,2414892.0
172,2429497.0,0,2429497.0,2429497.0
173,2438145.0,55,2438145.0,2438145.0
174,2441715.0,155,2441715.0,2441715.0
175,2455467.0,150,2455467.0,2455467.0
176,2473225.0,30,2473225.0,2473225.0
177,2476356.0,0,2476356.0,2476356.0
178,2478559.0,155,2478559.0,2478559.0
179,2513906.0,120,2513906.0,2513906.0
180,2515114.0,150,2515114.0,2515114.0
181,2531227.0,365,2531227.0,2531227.0
182,2540550.0,0,2540550.0,2540550.0
183,2607495.0,485,2607495.0,2607495.0
184,2608739.0,25,2608739.0,2608739.0
185,2611394.0,145,2611394.0,2611394.0
186,2617399.0,220,2617399.0,2617399.0
187,2645004.0,260,2645004.0,2645004.0
188,2687420.0,80,2687420.0,2687420.0
189,2692221.0,325,2692221.0,2692221.0
190,2717512.0,870,2717512.0,2717512.0
191,2730466.0,640,2730466.0,2730466.0
192,2733338.0,570,2733338.0,2733338.0
193,2741048.0,45,2741048.0,2741048.0
194,2755652.0,165,2755652.0,2755652.0
195,2756193.0,0,2756193.0,2756193.0
196,2784872.0,290,2784872.0,2784872.0
197,2786172.0,60,2786172.0,2786172.0
198,2790402.0,30,2790402.0,2790402.0
199,2804231.0,1200,2804231.0,2804231.0
200,2818033.0,25,2818033.0,2818033.0
201,2839082.0,340,2839082.0,2839082.0
202,2839794.0,380,2839794.0,2839794.0
203,2863411.0,225,2863411.0,2863411.0
204,2908094.0,295,2908094.0,2908094.0
205,2918217.0,800,2918217.0,2918217.0
206,2926292.0,1015,2926292.0,2926292.0
207,2937215.0,0,2937215.0,2937215.0
208,3013864.0,110,3013864.0,3013864.0
209,3040314.0,310,3040314.0,3040314.0
210,3048417.0,1345,3048417.0,3048417.0
211,3077648.0,270,3077648.0,3077648.0
212,3080478.0,605,3080478.0,3080478.0
213,3103668.0,545,3103668.0,3103668.0
214,3128266.0,275,3128266.0,3128266.0
215,3137900.0,715,3137900.0,3137900.0
216,3146791.0,45,3146791.0,3146791.0
217,3159402.0,570,3159402.0,3159402.0
218,3162422.0,220,3162422.0,3162422.0
219,3174934.0,575,3174934.0,3174934.0
220,3191375.0,365,3191375.0,3191375.0
221,3206489.0,605,3206489.0,3206489.0
222,3225300.0,570,3225300.0,3225300.0
223,3269814.0,695,3269814.0,3269814.0
224,3274268.0,95,3274268.0,3274268.0
225,3315724.0,535,3315724.0,3315724.0
226,3334725.0,395,3334725.0,3334725.0
227,3349404.0,325,3349404.0,3349404.0
228,3408428.0,800,3408428.0,3408428.0
229,3455601.0,0,3455601.0,3455601.0
230,3477099.0,575,3477099.0,3477099.0
231,3481419.0,1255,3481419.0,3481419.0
232,3487850.0,545,3487850.0,3487850.0
233,3487921.0,0,3487921.0,3487921.0
234,3491448.0,550,3491448.0,3491448.0
235,3501265.0,160,3501265.0,3501265.0
236,3512056.0,495,3512056.0,3512056.0
237,3526986.0,480,3526986.0,3526986.0
238,3539975.0,770,3539975.0,3539975.0
239,3542193.0,190,3542193.0,3542193.0
240,3551914.0,515,3551914.0,3551914.0
241,3655632.0,405,3655632.0,3655632.0
242,3674882.0,60,3674882.0,3674882.0
243,3688397.0,210,3688397.0,3688397.0
244,3696033.0,600,3696033.0,3696033.0
245,3704879.0,570,3704879.0,3704879.0
246,3709014.0,275,3709014.0,3709014.0
247,3726903.0,575,3726903.0,3726903.0
248,3774008.0,975,3774008.0,3774008.0
249,3787075.0,600,3787075.0,3787075.0
250,3822934.0,450,3822934.0,3822934.0
251,3843612.0,725,3843612.0,3843612.0
252,3864574.0,460,3864574.0,3864574.0
253,3874313.0,85,3874313.0,3874313.0
254,3905513.0,775,3905513.0,3905513.0
255,3943731.0,540,3943731.0,3943731.0
256,3964475.0,1145,3964475.0,3964475.0
257,3991396.0,90,3991396.0,3991396.0
258,3995412.0,545,3995412.0,3995412.0
259,3996334.0,130,3996334.0,3996334.0
260,4005243.0,575,4005243.0,4005243.0
261,4090444.0,270,4090444.0,4090444.0
262,4092163.0,515,4092163.0,4092163.0
263,4177852.0,0,4177852.0,4177852.0
264,4215816.0,575,4215816.0,4215816.0
265,4230841.0,25,4230841.0,4230841.0
266,4254903.0,440,4254903.0,4254903.0
267,4303374.0,215,4303374.0,4303374.0
268,4329102.0,515,4329102.0,4329102.0
269,4355914.0,515,4355914.0,4355914.0
270,4360334.0,195,4360334.0,4360334.0
271,4391049.0,25,4391049.0,4391049.0
272,4396123.0,230,4396123.0,4396123.0
273,4475089.0,215,4475089.0,4475089.0
274,4483824.0,155,4483824.0,4483824.0
275,4495701.0,210,4495701.0,4495701.0
276,4514437.0,330,4514437.0,4514437.0
277,4525130.0,155,4525130.0,4525130.0
278,4557177.0,370,4557177.0,4557177.0
279,4612490.0,440,4612490.0,4612490.0
280,4641958.0,340,4641958.0,4641958.0
281,4654607.0,580,4654607.0,4654607.0
282,4693856.0,25,4693856.0,4693856.0
283,4716846.0,155,4716846.0,4716846.0
284,4717312.0,385,4717312.0,4717312.0
285,4728275.0,570,4728275.0,4728275.0
286,4813252.0,350,4813252.0,4813252.0
287,4830972.0,970,4830972.0,4830972.0
288,4896940.0,600,4896940.0,4896940.0
289,4898894.0,185,4898894.0,4898894.0
290,4912202.0,570,4912202.0,4912202.0
291,4944647.0,440,4944647.0,4944647.0
292,4961909.0,515,4961909.0,4961909.0
293,4962290.0,245,4962290.0,4962290.0
294,4982255.0,0,4982255.0,4982255.0
295,4991572.0,0,4991572.0,4991572.0
296,5037188.0,355,5037188.0,5037188.0
297,5052015.0,30,5052015.0,5052015.0
298,5054537.0,600,5054537.0,5054537.0
299,5071093.0,0,5071093.0,5071093.0
300,5081336.0,470,5081336.0,5081336.0
301,5090878.0,800,5090878.0,5090878.0
302,5117431.0,545,5117431.0,5117431.0
303,5123899.0,480,5123899.0,5123899.0
304,5148511.0,545,5148511.0,5148511.0
305,5153359.0,0,5153359.0,5153359.0
306,5198274.0,770,5198274.0,5198274.0
307,5241443.0,1545,5241443.0,5241443.0
308,5318440.0,125,5318440.0,5318440.0
309,5349072.0,20,5349072.0,5349072.0
310,5349924.0,600,5349924.0,5349924.0
311,5349947.0,0,5349947.0,5349947.0
312,5390062.0,120,5390062.0,5390062.0
313,5412424.0,600,5412424.0,5412424.0
314,5424331.0,575,5424331.0,5424331.0
315,5524372.0,55,5524372.0,5524372.0
316,5549670.0,115,5549670.0,5549670.0
317,5555184.0,545,5555184.0,5555184.0
318,5596275.0,1185,5596275.0,5596275.0
319,5616282.0,75,5616282.0,5616282.0
320,5621696.0,130,5621696.0,5621696.0
321,5624966.0,0,5624966.0,5624966.0
322,5627348.0,225,5627348.0,5627348.0
323,5654601.0,545,5654601.0,5654601.0
324,5659469.0,705,5659469.0,5659469.0
325,5679895.0,740,5679895.0,5679895.0
326,5692269.0,450,5692269.0,5692269.0
327,5724049.0,30,5724049.0,5724049.0
328,5747470.0,600,5747470.0,5747470.0
329,5763379.0,25,5763379.0,5763379.0
330,5779124.0,600,5779124.0,5779124.0
331,5811652.0,575,5811652.0,5811652.0
332,5819930.0,25,5819930.0,5819930.0
333,5865703.0,0,5865703.0,5865703.0
334,5866147.0,50,5866147.0,5866147.0
335,5884269.0,315,5884269.0,5884269.0
336,5970829.0,220,5970829.0,5970829.0
337,5976158.0,545,5976158.0,5976158.0
338,6015966.0,600,6015966.0,6015966.0
339,6043713.0,30,6043713.0,6043713.0
340,6079267.0,60,6079267.0,6079267.0
341,6088301.0,0,6088301.0,6088301.0
342,6089579.0,465,6089579.0,6089579.0
343,6124448.0,85,6124448.0,6124448.0
344,6145984.0,1000,6145984.0,6145984.0
345,6183267.0,0,6183267.0,6183267.0
346,6191377.0,515,6191377.0,6191377.0
347,6194518.0,65,6194518.0,6194518.0
348,6195220.0,540,6195220.0,6195220.0
349,6196828.0,320,6196828.0,6196828.0
350,6224154.0,0,6224154.0,6224154.0
351,6263906.0,1030,6263906.0,6263906.0
352,6287524.0,370,6287524.0,6287524.0
353,6293943.0,975,6293943.0,6293943.0
354,6296916.0,475,6296916.0,6296916.0
355,6350252.0,0,6350252.0,6350252.0
356,6351857.0,545,6351857.0,6351857.0
357,6422734.0,600,6422734.0,6422734.0
358,6475802.0,575,6475802.0,6475802.0
359,6505804.0,570,6505804.0,6505804.0
360,6571564.0,570,6571564.0,6571564.0
361,6595522.0,75,6595522.0,6595522.0
362,6600856.0,260,6600856.0,6600856.0
363,6621510.0,180,6621510.0,6621510.0
364,6635992.0,250,6635992.0,6635992.0
365,6638734.0,345,6638734.0,6638734.0
366,6647389.0,605,6647389.0,6647389.0
367,6665694.0,115,6665694.0,6665694.0
368,6673692.0,575,6673692.0,6673692.0
369,6705354.0,545,6705354.0,6705354.0
370,6832043.0,600,6832043.0,6832043.0
371,6885698.0,110,6885698.0,6885698.0
372,6926479.0,875,6926479.0,6926479.0
373,6933899.0,910,6933899.0,6933899.0
374,6945103.0,310,6945103.0,6945103.0
375,6969772.0,0,6969772.0,6969772.0
376,6991237.0,365,6991237.0,6991237.0
377,7023963.0,85,7023963.0,7023963.0
378,7056063.0,575,7056063.0,7056063.0
379,7068753.0,180,7068753.0,7068753.0
380,7127799.0,725,7127799.0,7127799.0
381,7163337.0,375,7163337.0,7163337.0
382,7188838.0,0,7188838.0,7188838.0
383,7190022.0,30,7190022.0,7190022.0
384,7217399.0,545,7217399.0,7217399.0
385,7268614.0,25,7268614.0,7268614.0
386,7292566.0,390,7292566.0,7292566.0
387,7308700.0,585,7308700.0,7308700.0
388,7313048.0,0,7313048.0,7313048.0
389,7349983.0,0,7349983.0,7349983.0
390,7356953.0,0,7356953.0,7356953.0
391,7416165.0,600,7416165.0,7416165.0
392,7422817.0,0,7422817.0,7422817.0
393,7474256.0,120,7474256.0,7474256.0
394,7493644.0,435,7493644.0,7493644.0
395,7567887.0,40,7567887.0,7567887.0
396,7571245.0,25,7571245.0,7571245.0
397,7584129.0,470,7584129.0,7584129.0
398,7597230.0,800,7597230.0,7597230.0
399,7664670.0,155,7664670.0,7664670.0
400,7702591.0,600,7702591.0,7702591.0
401,7714198.0,25,7714198.0,7714198.0
402,7725322.0,155,7725322.0,7725322.0
403,7732717.0,340,7732717.0,7732717.0
404,7796094.0,290,7796094.0,7796094.0
405,7807327.0,730,7807327.0,7807327.0
406,7818234.0,80,7818234.0,7818234.0
407,7822648.0,600,7822648.0,7822648.0
408,7825451.0,25,7825451.0,7825451.0
409,7832852.0,575,7832852.0,7832852.0
410,7842520.0,550,7842520.0,7842520.0
411,7870913.0,540,7870913.0,7870913.0
412,7898631.0,520,7898631.0,7898631.0
413,7925341.0,1175,7925341.0,7925341.0
414,7936227.0,0,7936227.0,7936227.0
415,7946447.0,600,7946447.0,7946447.0
416,7989212.0,0,7989212.0,7989212.0
417,8034710.0,0,8034710.0,8034710.0
418,8100511.0,0,8100511.0,8100511.0
419,8110294.0,290,8110294.0,8110294.0
420,8116954.0,315,8116954.0,8116954.0
421,8121334.0,380,8121334.0,8121334.0
422,8225889.0,0,8225889.0,8225889.0
423,8246222.0,970,8246222.0,8246222.0
424,8285798.0,270,8285798.0,8285798.0
425,8288874.0,605,8288874.0,8288874.0
426,8289498.0,605,8289498.0,8289498.0
427,8332100.0,290,8332100.0,8332100.0
428,8339106.0,200,8339106.0,8339106.0
429,8363674.0,280,8363674.0,8363674.0
430,8381716.0,0,8381716.0,8381716.0
431,8445948.0,95,8445948.0,8445948.0
432,8464764.0,920,8464764.0,8464764.0
433,8507343.0,890,8507343.0,8507343.0
434,8509916.0,1200,8509916.0,8509916.0
435,8526618.0,100,8526618.0,8526618.0
436,8528714.0,55,8528714.0,8528714.0
437,8587940.0,0,8587940.0,8587940.0
438,8606383.0,690,8606383.0,8606383.0
439,8620358.0,0,8620358.0,8620358.0
440,8624396.0,800,8624396.0,8624396.0
441,8682940.0,55,8682940.0,8682940.0
442,8703899.0,0,8703899.0,8703899.0
443,8713179.0,485,8713179.0,8713179.0
444,8723846.0,0,8723846.0,8723846.0
445,8729568.0,750,8729568.0,8729568.0
446,8739794.0,1015,8739794.0,8739794.0
447,8755215.0,1175,8755215.0,8755215.0
448,8774834.0,165,8774834.0,8774834.0
449,8778150.0,470,8778150.0,8778150.0
450,8820196.0,690,8820196.0,8820196.0
451,8822556.0,620,8822556.0,8822556.0
452,8883241.0,105,8883241.0,8883241.0
453,8927026.0,645,8927026.0,8927026.0
454,8936883.0,800,8936883.0,8936883.0
455,9020400.0,390,9020400.0,9020400.0
456,9021003.0,605,9021003.0,9021003.0
457,9024219.0,45,9024219.0,9024219.0
458,9030249.0,770,9030249.0,9030249.0
459,9047668.0,75,9047668.0,9047668.0
460,9079132.0,380,9079132.0,9079132.0
461,9089149.0,575,9089149.0,9089149.0
462,9099732.0,0,9099732.0,9099732.0
463,9103934.0,0,9103934.0,9103934.0
464,9110653.0,640,9110653.0,9110653.0
465,9136508.0,435,9136508.0,9136508.0
466,9169869.0,770,9169869.0,9169869.0
467,9231769.0,550,9231769.0,9231769.0
468,9250991.0,800,9250991.0,9250991.0
469,9257755.0,405,9257755.0,9257755.0
470,9289117.0,515,9289117.0,9289117.0
471,9290348.0,0,9290348.0,9290348.0
472,9297200.0,20,9297200.0,9297200.0
473,9313287.0,310,9313287.0,9313287.0
474,9313889.0,0,9313889.0,9313889.0
475,9327224.0,800,9327224.0,9327224.0
