,_step,charts/episodic_return,global_step,charts/decisions
0,566,0.0,9906.0,566
1,945,18.544172286987305,16591.0,945
2,1530,4.9004998207092285,27905.0,1530
3,1806,65.37940979003906,32893.0,1806
4,2365,0.0,43075.0,2365
5,2822,49.21074676513672,51261.0,2822
6,2852,89.35850524902344,51850.0,2852
7,3187,0.0,58329.0,3187
8,3274,0.0,60242.0,3274
9,3593,12.397570610046387,67522.0,3593
10,3646,59.824039459228516,68121.0,3646
11,4113,45.844642639160156,76924.0,4113
12,4468,27.265676498413086,83623.0,4468
13,5474,46.88053894042969,103561.0,5474
14,6404,12.644147872924805,120347.0,6404
15,8258,4.257288932800293,155020.0,8258
16,8547,0.0,160509.0,8547
17,9191,0.0,172891.0,9191
18,9514,28.244403839111328,179081.0,9514
19,9855,41.458892822265625,185457.0,9855
20,13589,0.0,253481.0,13589
21,14775,43.372989654541016,275663.0,14775
22,14900,30.0,277685.0,14900
23,15112,27.710460662841797,281338.0,15112
24,16276,13.164149284362793,303303.0,16276
25,17678,4.754950046539307,329497.0,17678
26,17768,63.192527770996094,331164.0,17768
27,18312,73.81575775146484,340938.0,18312
28,18446,0.0,343565.0,18446
29,18559,45.02302169799805,345885.0,18559
30,18706,101.21542358398438,348511.0,18706
31,19130,190.60923767089844,356909.0,19130
32,27595,80.84283447265625,514313.0,27595
33,28711,13.861315727233887,534641.0,28711
34,28794,41.08683776855469,535920.0,28794
35,31257,4.300291538238525,583929.0,31257
36,33739,38.51354217529297,629452.0,33739
37,34413,101.50900268554688,641980.0,34413
38,36739,179.06765747070312,686261.0,36739
39,38510,27.227149963378906,718363.0,38510
40,42456,0.0,791193.0,42456
41,42693,80.1383056640625,795512.0,42693
42,42876,0.0,798993.0,42876
43,43021,59.4564094543457,801754.0,43021
44,44386,33.05952835083008,826921.0,44386
45,44411,0.0,827504.0,44411
46,44868,41.231285095214844,836473.0,44868
47,46297,0.0,863521.0,46297
48,46627,22.9017333984375,870234.0,46627
49,47118,103.97684478759766,879167.0,47118
50,47481,66.96753692626953,885403.0,47481
51,47665,52.14491653442383,888897.0,47665
52,48264,36.87070083618164,900580.0,48264
53,49825,20.726150512695312,928884.0,49825
54,50094,33.44316864013672,933844.0,50094
55,50514,0.0,942588.0,50514
56,51259,0.0,956390.0,51259
57,53050,61.229034423828125,993642.0,53050
58,53758,53.057945251464844,1007039.0,53758
59,55738,9.704950332641602,1045447.0,55738
60,56164,36.63666534423828,1054270.0,56164
61,56469,0.0,1061238.0,56469
62,57437,0.0,1081096.0,57437
63,60129,18.576210021972656,1135204.0,60129
64,60454,12.791330337524414,1141279.0,60454
65,61507,58.05146026611328,1162977.0,61507
66,61955,35.99970245361328,1171436.0,61955
67,61961,5.0,1171548.0,61961
68,62494,12.114069938659668,1182445.0,62494
69,63488,87.44217681884766,1200339.0,63488
70,63796,4.660326957702637,1206511.0,63796
71,64408,0.0,1218449.0,64408
72,64860,24.01490020751953,1227429.0,64860
73,64995,4.257288932800293,1230460.0,64995
74,65654,0.0,1244289.0,65654
75,65676,12.68886661529541,1244840.0,65676
76,65710,154.4634552001953,1245552.0,65710
77,66144,0.0,1253796.0,66144
78,68876,35.99970245361328,1307025.0,68876
79,69044,81.58940124511719,1310928.0,69044
80,69145,164.75503540039062,1312815.0,69145
81,70067,69.66481018066406,1330369.0,70067
82,70370,0.0,1336706.0,70370
83,70573,9.509900093078613,1340684.0,70573
84,71332,34.59801483154297,1356283.0,71332
85,71550,64.63057708740234,1360827.0,71550
86,73031,34.84110641479492,1390604.0,73031
87,74190,182.9521942138672,1413258.0,74190
88,74772,0.0,1424079.0,74772
89,75077,39.21054458618164,1430566.0,75077
90,75536,134.5987091064453,1439642.0,75536
91,77400,269.8085632324219,1475654.0,77400
92,78913,12.605415344238281,1506572.0,78913
93,79073,0.0,1509181.0,79073
94,79279,55.392459869384766,1512653.0,79279
95,81282,82.63267517089844,1551654.0,81282
96,82628,13.618799209594727,1578319.0,82628
97,83362,0.0,1592078.0,83362
98,83727,8.957452774047852,1599390.0,83727
99,84117,0.0,1607125.0,84117
100,85687,0.0,1638440.0,85687
101,86796,19.03117561340332,1660856.0,86796
102,87688,0.0,1677779.0,87688
103,88066,29.177446365356445,1685759.0,88066
104,89455,62.20322036743164,1712710.0,89455
105,89896,48.32430648803711,1721285.0,89896
