,env,seed,mean_episodic_return,mode,action_repeat_n
24,ALE/SpaceInvaders-v5,4,112.50005494594573,0,16
25,ALE/SpaceInvaders-v5,9,151.10545496463774,0,16
26,ALE/SpaceInvaders-v5,6,106.45997208118439,0,16
27,ALE/SpaceInvaders-v5,3,175.13288907527922,0,16
28,ALE/SpaceInvaders-v5,5,133.79208820819855,0,16
29,ALE/SpaceInvaders-v5,8,122.13403695106507,0,16
30,ALE/SpaceInvaders-v5,12,132.92030299663543,0,16
31,ALE/SpaceInvaders-v5,13,124.54192535400391,0,16
32,ALE/SpaceInvaders-v5,11,148.6998732852936,0,16
33,ALE/SpaceInvaders-v5,14,130.77662059783935,0,16
35,ALE/SpaceInvaders-v5,15,135.82601254463196,0,16
