,env,seed,mean_episodic_return,mode,action_repeat_n
0,ALE/SpaceInvaders-v5,1,83.44981689929962,1,1
1,ALE/SpaceInvaders-v5,4,63.83143865585327,1,1
2,ALE/SpaceInvaders-v5,5,56.16334755897522,1,1
3,ALE/SpaceInvaders-v5,6,59.62439555644989,1,1
4,ALE/SpaceInvaders-v5,2,55.84843629837036,1,1
5,ALE/SpaceInvaders-v5,3,74.3439669418335,1,1
6,ALE/SpaceInvaders-v5,11,58.469963512420655,1,1
7,ALE/SpaceInvaders-v5,14,68.20875535964966,1,1
8,ALE/SpaceInvaders-v5,10,72.57485545635224,1,1
9,ALE/SpaceInvaders-v5,13,65.82778367042542,1,1
10,ALE/SpaceInvaders-v5,9,69.88564034938813,1,1
11,ALE/SpaceInvaders-v5,7,63.758904504776,1,1
12,ALE/SpaceInvaders-v5,12,48.8593985414505,1,1
16,ALE/SpaceInvaders-v5,15,58.41688899040222,1,1
